"time","temperature","directHorizontalIrradiance","diffuseHorizontalIrradiance"
0,274.6336669921875,0,0
0,274.6336669921875,0,0
3600,274.4828796386719,0,0
7200,274.01922607421875,0,0
10800,273.8811340332031,0,0
14400,273.7162628173828,0,0
18000,273.4994201660156,0,0
21600,273.3451385498047,0,0
25200,273.2210388183594,0.01708984375,3.03173828125
28800,273.4631805419922,32.473876953125,51.814697265625
32400,274.3274230957031,106.16259765625,80.36165171861649
36000,275.4784393310547,172.1171875,95.63700693845749
39600,276.50999450683594,207.6816406250005,102.13556969165802
43200,277.6051940917969,203.74609375089045,101.35517811775208
46800,278.2355194091797,161.24023440730758,93.04704689979553
50400,278.0879669189453,92.67578142064986,74.65015459060669
54000,277.3506317138672,21.17968753655803,43.18778944015503
57600,276.5809631347656,0.013671875010348028,-0.00856328010559082
61200,275.99607849121094,-0.011718749990169372,-0.06733894348144531
64800,275.36585998535156,0.027343750008278423,0.03996133804321289
68400,274.8233642578125,0.003906250007761022,-0.05777382850646973
72000,274.35382080078125,-0.013671874993791184,0.086669921875
75600,273.8891143798828,-0.046874999994825986,0.07489943504333496
79200,273.6193542480469,-0.07421874999482599,-0.03650379180908203
82800,273.1964416503906,-0.041015624994825986,0.022024869918823242
86400,272.87730407714844,-0.041015624995343385,0.025892019271850586
